location,vaccine,Daily total_vaccinations,Total Vaccinations,new_date,Month,Year,Day Name,Month Name
Iceland,Pfizer/BioNTech,64070,0,2021-04-13,4,2021,Tuesday,April
Iceland,Johnson&Johnson,0,0,2021-04-14,4,2021,Wednesday,April
Iceland,Moderna,8155,0,2021-04-14,4,2021,Wednesday,April
Iceland,Oxford/AstraZeneca,23843,0,2021-04-14,4,2021,Wednesday,April
Iceland,Pfizer/BioNTech,65549,0,2021-04-14,4,2021,Wednesday,April
Iceland,Johnson&Johnson,0,0,2021-04-15,4,2021,Thursday,April
Iceland,Moderna,8155,0,2021-04-15,4,2021,Thursday,April
Iceland,Oxford/AstraZeneca,23958,0,2021-04-15,4,2021,Thursday,April
Iceland,Pfizer/BioNTech,66710,0,2021-04-15,4,2021,Thursday,April
Iceland,Johnson&Johnson,0,0,2021-04-16,4,2021,Friday,April
Iceland,Moderna,8155,0,2021-04-16,4,2021,Friday,April
Iceland,Oxford/AstraZeneca,23960,0,2021-04-16,4,2021,Friday,April
